,longName,industry,sector,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,priceHint,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,timeZoneFullName,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,trailingPegRatio
CRBG,"Corebridge Financial, Inc.",Asset Management,Financial Services,,8,7,3,1,3,2,0.92,0.0275,1734393600,0.284,,0.753,,6.133428,2815965,2815965,3495278,2781880,18900185088,23.34,34.66,1.1830362,31.4684,29.80405,26451705856,-0.07824,226467194,565027968,8653474,7231817,1734048000,1736899200,0.0153,0.00347,0.80375,3.04,0.0361,570886016,23.691,1.4119287,,-1250000000,-1.91,5.62,1.656,-30.974,0.40782833,0.19995654,0.23,1734393600,NYQ,EQUITY,CRBG,America/New_York,33.45,43,34,38,38.5,1.73333,buy,14,5424999936,9.536,-854000000,12014000128,0.234,1.416,15975999488,83.188,26.027,-0.00167,-0.113929994,1432000000,-330249984,1439000064,,-0.452,0.08963,-0.053460002,-0.17649001,
CRSP,CRISPR Therapeutics AG,Biotechnology,Healthcare,407,7,9,9,2,7,2,,,,,,1.662,,-7.842324,2095339,2095339,1942255,1746470,3389387520,36.52,91.1,16.710567,43.5575,49.819023,1681286656,-1.18126,83903323,85353504,20311420,18116755,1734048000,1736899200,0.23799999,0.018029999,0.73985,11.16,0.2697,87288000,22.73,1.7470304,,-239594000,-2.79,-5.04,8.289,-5.37,-0.4805076,0.19995654,,,NGM,EQUITY,CRSP,America/New_York,39.71,268,30,82.76,84,2.2069,buy,25,1935645056,22.678,-313078016,227544992,21.553,21.644,202828992,11.731,2.446,-0.09567001,-0.13066,-261063008,-118566872,-188816000,,,-1.28711,-1.54356,-182.9402,
CRSR,"Corsair Gaming, Inc.",Computer Hardware,Technology,2387,3,10,10,7,10,2,,,,,,1.582,,18.205435,1320526,1320526,700388,1050170,968475008,5.595,14.125,0.7336699,7.8481,8.32395,1167407360,-0.06097,45056756,104700000,3549169,3231673,1734048000,1736899200,0.0339,0.031770002,0.86564004,6,0.0787,108775000,5.717,1.6179814,,-94288000,-0.91,0.51,0.884,166.772,-0.31633407,0.19995654,,,NMS,EQUITY,CRSR,America/New_York,9.25,12,7,9,9,2.16667,buy,6,58911000,0.563,7000000,243452992,0.656,1.583,1320041984,39.723,12.724,-0.02153,-0.12201,322059008,18330750,37415000,,-0.162,0.24398,0.0053,-0.06885,
CTKB,"Cytek Biosciences, Inc.",Medical Devices,Healthcare,645,10,8,8,8,9,2,,,,,,1.321,,34.826847,497070,497070,694338,728020,687850752,4.66,9.328,3.4185715,6.2681,5.8617,424589664,-0.05049,110663775,128811000,3471811,3693727,1734048000,1736899200,0.027,0.08941,0.59263,4.85,0.0347,128811000,2.97,1.7979798,,-10160000,-0.08,0.06,2.11,-28.013,-0.38194442,0.19995654,,,NMS,EQUITY,CTKB,America/New_York,5.34,9,5.25,7.6,8.25,2.33333,buy,5,277776992,2.156,-15157000,14518000,5.262,6.214,201210000,3.766,1.527,-0.027390001,-0.02537,110502000,40664752,32894000,,0.073,0.54919,-0.07533,-0.08249,
CTRN,"Citi Trends, Inc.",Apparel Retail,Consumer Cyclical,2700,4,3,2,4,3,2,,,1583107200,,1.37,2.402,,-37.359375,136602,136602,94610,80800,208256576,13.66,32.9,0.27491167,25.1454,20.82665,345038624,-0.029240001,5032669,8710020,1133679,1522569,1728950400,1731628800,0.13159999,0.13307999,1.0307,16.66,0.2066,8710020,19.139,1.2492815,,-22151000,-3.06,-0.89,0.455,-27.066,-0.19792014,0.19995654,0.08,1583107200,NMS,EQUITY,CTRN,America/New_York,23.91,29,20,24.5,24.5,2,buy,2,59302000,7.141,-12748000,231940000,0.341,1.16,757539968,169.807,91.639,-0.03862,-0.15144,279723008,739875,6388000,,0.017,0.36925,-0.01683,-0.12593001,
CVNA,Carvana Co.,Auto & Truck Dealerships,Consumer Cyclical,13700,7,8,8,10,10,2,,,,,,3.379,,88.18943,1687713,1687713,3051030,2023980,30882195456,48.15,268.339,2.4607327,234.2684,171.7441,38485716992,0.00135,118220481,116947000,13207178,12442417,1734048000,1736899200,0.1028,0.01759,0.9535,3.01,0.12100001,318547008,4.832,54.650253,-0.891,17000000,-0.03,2.35,3.067,38.18,3.7769537,0.19995654,,,NYQ,EQUITY,CVNA,America/New_York,264.07,350,108,255.156,258.06,2.375,buy,20,1334000000,10.38,1008000000,6208999936,1.468,3.248,12549999616,2170.979,106.047,0.06036,1.07143,2515000064,291875008,619000000,-0.822,0.318,0.20040001,0.08031999,0.092480004,
CYTK,"Cytokinetics, Incorporated",Biotechnology,Healthcare,423,4,4,6,7,6,2,,,,,,0.783,,-8.265773,3642961,3642961,1299236,1564680,5046278656,42.72,81.36,1567.6542,48.6754,53.79675,4942822912,,117414728,118014000,14030843,13730415,1734048000,1736899200,0.1189,0.0054,1.19498,11.45,0.1814,118014000,-0.118,,,-576401984,-5.38,-5.39,1535.515,-9.67,-0.4607818,0.19995654,,,NMS,EQUITY,CYTK,America/New_York,42.76,120,60,79.7,76,1.71429,buy,20,1011692032,8.573,-511143008,908225984,9.215,9.276,3219000,,0.03,-0.30128,,-327536000,-242420992,-404356992,,0.225,,,-304.10583,
DADA,Dada Nexus Limited,Internet Retail,Consumer Cyclical,2376,,,,,,4,,,,,,1.385,,-0.9574435,2504640,2504640,1872363,5771560,475443136,1.04,2.83,0.04672343,1.4602,1.529825,-1727831424,-0.2027,383607557,259804992,2181478,2961760,1727654400,1730332800,0.0084,0.03007,0.15706,0.78,0.0183,256234000,21.043,0.08696479,,-2062569984,-1.1,-0.21,-0.17,2.409,,0.19995654,,,NMS,EQUITY,DADA,America/New_York,1.83,5.198348,1.4658946,2.2422342,1.8406355,2.27273,buy,11,3174098944,3.04,-717123968,5586000,2.796,3.172,10175689728,0.113,38.775,-0.10245,-0.34638,2969737984,,,,-0.164,0.29185,-0.07047,-0.13213,
DAN,Dana Incorporated,Auto Parts,Consumer Cyclical,41100,1,5,3,2,2,2,0.4,0.0251,1731024000,4.4444,2.42,2.304,,13.328096,1275864,1275864,2043868,1805400,2312415232,7.58,16.86,0.22143209,12.7628,11.6921,5146417152,-0.00153,143568480,144979008,4644535,4882180,1734048000,1736899200,0.032,0.00979,1.03256,3.44,0.045100003,144979008,10.208,1.5625,-0.789,-16000000,-0.11,1.17,0.493,6.684,0.15079367,0.19995654,0.1,1731024000,NYQ,EQUITY,DAN,America/New_York,15.95,23,13,19.42857,20,2.125,buy,7,419000000,2.89,770000000,2984999936,0.775,1.493,10442999808,170.767,72.058,0.02675,-0.009430001,908000000,245500000,426000000,-0.788,-0.072,0.08695,0.07373,0.042,
DASH,"DoorDash, Inc.",Internet Content & Information,Communication Services,19300,8,7,9,10,9,2,,,,,,1.671,,42.369244,2999415,2999415,2638195,2568340,81226530816,99.32,199.17,8.001038,177.4354,141.0868,76803579904,-0.01694,353344349,388980992,10544063,10259034,1734048000,1736899200,0.0254,0.00843,0.92078,4.31,0.0273,415396000,18.231,10.725686,,-172000000,-0.43,1.78,7.565,914.328,0.6509625,0.19995654,,,NMS,EQUITY,DASH,America/New_York,195.54,225,138.27,186.48425,182.05,1.84091,buy,40,4963999744,11.95,84000000,532000000,1.364,1.651,10151999488,7.02,24.936,-0.00892,-0.02517,4952000000,1858625024,2099000064,,0.25,0.48779,0.00827,0.03954,
DAWN,"Day One Biopharmaceuticals, Inc.",Biotechnology,Healthcare,174,6,5,8,8,7,2,,,,,,-1.518,,-11.327849,772608,772608,1026070,935800,1215194368,11.13,18.07,11.919163,12.7174,13.9853,659429824,-0.82678,69387293,100846000,16595226,18097423,1734048000,1736899200,0.16459998,0.16983,0.94521004,15.11,0.1988,100846000,5.51,2.1869328,,-84293000,-0.97,-1.12,6.468,-3.209,-0.23297262,0.19995654,,,NMS,EQUITY,DAWN,America/New_York,12.05,48,25,36,34,1.7,buy,9,558382976,5.537,-205504000,2615000,14.268,14.618,101953000,0.471,1.144,-0.25426,-0.17838,99656000,-151710368,-89477000,,,0.97747004,-2.01567,0.31608,
DIBS,"1stdibs.Com, Inc.",Internet Retail,Consumer Cyclical,237,5,7,10,7,9,4,,,,,,0.981,,-7.788462,54198,54198,130543,97330,147877664,3.37,6.3,1.7113688,3.7171,4.478175,61756812,-0.18937999,27709381,36513000,396678,425216,1734048000,1736899200,0.0109,0.116739996,0.64577,3.81,0.0217,36513000,2.912,1.3907968,,-16364000,-0.42,-0.52,0.715,-2.58,-0.16322315,0.19995654,,,NGM,EQUITY,DIBS,America/New_York,4.05,8,8,8,8,1.66667,buy,1,109361000,2.995,-23940000,23240000,4.025,4.23,86409000,21.672,2.231,-0.08912,-0.13438,61922000,155750,-7789000,,0.026,0.71662,-0.27705,-0.34884,
DKNG,DraftKings Inc.,Gambling,Consumer Cyclical,4400,2,10,10,10,10,2,,,,,,1.819,,31.230839,6561843,6561843,7868211,6290960,20616910848,28.69,49.57,4.476309,40.7316,38.8448,21081874432,-0.090550005,476865795,487628000,22512409,18812484,1734048000,1736899200,0.0462,0.03179,0.78271,2.65,0.047399998,487628000,2.209,19.139881,,-417055008,-0.87,0.57,4.577,-110.316,-0.03049761,0.19995654,,,NMS,EQUITY,DKNG,America/New_York,42.28,75,35,51.64286,52,1.55556,buy,35,877822016,1.8,-191104000,1342796032,0.572,0.998,4605784064,124.782,9.655,-0.06931,-0.44426,1773208960,453889984,164644992,,0.387,0.385,-0.041490003,-0.24764,
